Weapon,Skin,Rarity,Case,Price
Sawed-Off,Black Sand,Mil-Spec Shotgun,Danger Zone Case,0.08
Sawed-Off,Morris,Mil-Spec Shotgun,Spectrum 2 Case,0.09
Sawed-Off,Zander,Mil-Spec Shotgun,Spectrum Case,0.18
Sawed-Off,Fubar,Mil-Spec Shotgun,Chroma 3 Case,1.34
Sawed-Off,Yorick,Mil-Spec Shotgun,Revolver Case,0.09
Sawed-Off,Origami,Mil-Spec Shotgun,Chroma 2 Case,0.09
XM1014,XOXO,Classified Shotgun,Snakebite Case,1.53
XM1014,Entombed,Classified Shotgun,Fracture Case,3.06
XM1014,Incinegator,Classified Shotgun,Prisma Case,1.61
XM1014,Tranquility,Classified Shotgun,Operation Vanguard Weapon Case,6.32
XM1014,Zombie Offensive,Restricted Shotgun,Dreams & Nightmares Case,0.23
XM1014,Ziggy,Restricted Shotgun,Spectrum 2 Case,0.42
XM1014,Seasons,Restricted Shotgun,Spectrum Case,1.56
XM1014,Black Tie,Restricted Shotgun,Chroma 3 Case,0.41
XM1014,Teclu Burner,Restricted Shotgun,Revolver Case,1.05
XM1014,Heaven Guard,Restricted Shotgun,Huntsman Weapon Case,6.9
XM1014,Watchdog,Mil-Spec Shotgun,Operation Riptide Case,0.94
XM1014,Oxide Blaze,Mil-Spec Shotgun,Clutch Case,0.07
XM1014,Slipstream,Mil-Spec Shotgun,Gamma 2 Case,0.09
XM1014,Scumbria,Mil-Spec Shotgun,Shadow Case,0.14
XM1014,Quicksilver,Mil-Spec Shotgun,Chroma Case,0.2
XM1014,Red Python,Mil-Spec Shotgun,eSports 2014 Summer Case,2.1
M249,Downtown,Restricted Machine Gun,Recoil Case,0.53
M249,Aztec,Restricted Machine Gun,CS20 Case,0.66
M249,Emerald Poison Dart,Restricted Machine Gun,Spectrum Case,1.38
M249,Nebula Crusader,Restricted Machine Gun,Shadow Case,1.23
M249,O.S.I.P.R.,Mil-Spec Machine Gun,Snakebite Case,0.09
M249,Deep Relief,Mil-Spec Machine Gun,Operation Broken Fang Case,0.55
M249,Warbird,Mil-Spec Machine Gun,Shattered Web Case,1.03
